,Frequency
捷運,8
安全,8
打造,6
推動,6
托育,5
空間,5
增加,5
鼓勵,5
社區,5
環境,4
健康,4
有機,4
農業,4
旅遊,4
加強,4
長,4
大眾,3
生活,3
多元,3
發展,3
周邊,3
公益,3
優先,3
新北,3
更,3
輕軌,3
產業,3
吃,3
擴大,3
合作,3
平台,3
接管,3
銀髮,3
故事,3
站,2
回饋,2
容積,2
都市,2
提升,2
保障,2
積極,2
遠離,2
風險,2
老舊,2
誘因,2
五股,2
工程,2
提高,2
運輸,2
運量,2
建構,2
節能,2
升級,2
蔬菜,2
安心,2
農產,2
通路,2
結合,2
教育,2
未來,2
公共,2
社區化,2
持續,2
聯合,2
補助,2
校園,2
整合,2
家庭,2
機制,2
社會,2
幼兒園,2
提供,2
全市,2
目標,2
運動,2
市府,2
通用,2
串聯,2
城市,2
里,2
公車,2
推出,2
新北市,2
座,2
運動中心,2
製,2
青年,2
環保,2
自造,2
沿線,2
醫療,2
電動車,2
音介紹,2
導入,1
運輸導,1
TOD,1
概念,1
場站,1
節點,1
核心,1
